DATETIME,Level
2017-09-01T08:19:00,2277.205774
2017-09-01T08:20:00,2277.02489
2017-09-01T08:21:00,2276.301392
2017-09-01T08:22:00,2277.838867
2017-09-01T08:23:00,2276.959546
2017-09-01T08:24:00,2277.537354
2017-09-01T08:25:00,2276.607837
2017-09-01T08:26:00,2276.253149
2017-09-01T08:27:00,2277.703186
2017-09-01T08:28:00,2277.537354
2017-09-01T08:29:00,2277.296216
2017-09-01T08:30:00,2277.416772
2017-09-01T08:31:00,2276.132544
2017-09-01T08:32:00,2277.145465
2017-09-01T08:33:00,2276.120469
2017-09-01T08:34:00,2276.030029
2017-09-01T08:35:00,2276.452091
2017-09-01T08:36:00,2277.567542
2017-09-01T08:37:00,2276.132544
2017-09-01T08:38:00,2276.66307
2017-09-01T08:39:00,2276.753577
2017-09-01T08:40:00,2276.120469
2017-09-01T08:41:00,2276.316467
2017-09-01T08:42:00,2276.683252
2017-09-01T08:43:00,2276.283301
2017-09-01T08:44:00,2277.657983
2017-09-01T08:45:00,2275.170715
2017-09-01T08:46:00,2276.030029
2017-09-01T08:47:00,2276.150618
2017-09-01T08:48:00,2276.321493
2017-09-01T08:49:00,2277.35651
2017-09-01T08:50:00,2276.316467
2017-09-01T08:51:00,2276.773674
2017-09-01T08:52:00,2276.045105
2017-09-01T08:53:00,2275.396826
2017-09-01T08:54:00,2277.4771
2017-09-01T08:55:00,2275.698364
2017-09-01T08:56:00,2275.457153
2017-09-01T08:57:00,2275.889323
2017-09-01T08:58:00,2276.140584
2017-09-01T08:59:00,2276.030029
2017-09-01T09:00:00,2276.813794
2017-09-01T09:01:00,2275.125488
2017-09-01T09:02:00,2276.210938
2017-09-01T09:03:00,2275.427002
2017-09-01T09:04:00,2275.999878
2017-09-01T09:05:00,2276.331543
2017-09-01T09:06:00,2276.140584
2017-09-01T09:07:00,2276.220988
2017-09-01T09:08:00,2275.758667
2017-09-01T09:09:00,2275.808919
2017-09-01T09:10:00,2275.648112
2017-09-01T09:11:00,2275.808919
2017-09-01T09:12:00,2276.220988
2017-09-01T09:13:00,2275.414941
2017-09-01T09:14:00,2275.366699
2017-09-01T09:15:00,2275.318457
2017-09-01T09:16:00,2276.060181
2017-09-01T09:17:00,2275.60791
2017-09-01T09:18:00,2276.120483
2017-09-01T09:19:00,2275.9245
2017-09-01T09:20:00,2275.808919
2017-09-01T09:21:00,2276.030029
2017-09-01T09:22:00,2277.175627
2017-09-01T09:23:00,2276.210938
2017-09-01T09:24:00,2277.356494
2017-09-01T09:25:00,2277.838867
2017-09-01T09:26:00,2276.693301
2017-09-01T09:27:00,2276.331543
2017-09-01T09:28:00,2276.331543
2017-09-01T09:29:00,2276.994766
2017-09-01T09:30:00,2277.477109
2017-09-01T09:31:00,2277.838867
2017-09-01T09:32:00,2276.844006
2017-09-01T09:33:00,2278.429834
2017-09-01T09:34:00,2277.914233
2017-09-01T09:35:00,2277.838867
2017-09-01T09:36:00,2278.170479
2017-09-01T09:37:00,2279.647705
2017-09-01T09:38:00,2277.929309
2017-09-01T09:39:00,2276.406909
2017-09-01T09:40:00,2281.411798
2017-09-01T09:41:00,2280.087915
2017-09-01T09:42:00,2279.466821
2017-09-01T09:43:00,2279.941925
2017-09-01T09:44:00,2280.335356
2017-09-01T09:45:00,2278.652954
2017-09-01T09:46:00,2279.611577
2017-09-01T09:47:00,2280.0849
2017-09-01T09:48:00,2278.833728
2017-09-01T09:49:00,2279.250712
2017-09-01T09:50:00,2279.235636
2017-09-01T09:51:00,2279.557251
2017-09-01T09:52:00,2279.366382
2017-09-01T09:53:00,2279.549713
2017-09-01T09:54:00,2279.813538
2017-09-01T09:55:00,2280.220758
2017-09-01T09:56:00,2279.346191
2017-09-01T09:57:00,2278.652844
2017-09-01T09:58:00,2280.386613
2017-09-01T09:59:00,2280.306055
2017-09-01T10:00:00,2279.512024
2017-09-01T10:01:00,2277.869014
2017-09-01T10:02:00,2279.979498
2017-09-01T10:03:00,2279.346191
2017-09-01T10:04:00,2279.346191
2017-09-01T10:05:00,2279.64268
