,DATETIME,Level
5971.357308,2017-09-01T04:45:00,5971.357308
5976.54541,2017-09-01T04:46:00,5976.54541
5989.830996,2017-09-01T04:47:00,5989.830996
5998.159277,2017-09-01T04:48:00,5998.159277
6004.747168,2017-09-01T04:49:00,6004.747168
6018.656738,2017-09-01T04:50:00,6018.656738
6023.943066,2017-09-01T04:51:00,6023.943066
6034.749805,2017-09-01T04:52:00,6034.749805
6045.331348,2017-09-01T04:53:00,6045.331348
6049.178125,2017-09-01T04:54:00,6049.178125
6062.64793,2017-09-01T04:55:00,6062.64793
6073.131348,2017-09-01T04:56:00,6073.131348
6077.839681,2017-09-01T04:57:00,6077.839681
6088.960059,2017-09-01T04:58:00,6088.960059
6098.62168,2017-09-01T04:59:00,6098.62168
6105.816406,2017-09-01T05:00:00,6105.816406
6119.442773,2017-09-01T05:01:00,6119.442773
6123.883086,2017-09-01T05:02:00,6123.883086
6132.226725,2017-09-01T05:03:00,6132.226725
6145.666577,2017-09-01T05:04:00,6145.666577
6149.616724,2017-09-01T05:05:00,6149.616724
6160.790332,2017-09-01T05:06:00,6160.790332
6170.363721,2017-09-01T05:07:00,6170.363721
6176.589648,2017-09-01T05:08:00,6176.589648
6189.658057,2017-09-01T05:09:00,6189.658057
6199.495866,2017-09-01T05:10:00,6199.495866
6203.871029,2017-09-01T05:11:00,6203.871029
6215.059766,2017-09-01T05:12:00,6215.059766
6224.339323,2017-09-01T05:13:00,6224.339323
6232.396309,2017-09-01T05:14:00,6232.396309
6242.786938,2017-09-01T05:15:00,6242.786938
6249.497135,2017-09-01T05:16:00,6249.497135
6257.876016,2017-09-01T05:17:00,6257.876016
6268.418669,2017-09-01T05:18:00,6268.418669
6276.157239,2017-09-01T05:19:00,6276.157239
6284.981531,2017-09-01T05:20:00,6284.981531
6293.116152,2017-09-01T05:21:00,6293.116152
6303.100586,2017-09-01T05:22:00,6303.100586
6309.531714,2017-09-01T05:23:00,6309.531714
6321.733105,2017-09-01T05:24:00,6321.733105
6328.17887,2017-09-01T05:25:00,6328.17887
6334.228906,2017-09-01T05:26:00,6334.228906
6343.03905,2017-09-01T05:27:00,6343.03905
6349.059058,2017-09-01T05:28:00,6349.059058
6358.610278,2017-09-01T05:29:00,6358.610278
6365.41,2017-09-01T05:30:00,6365.41
6371.161898,2017-09-01T05:31:00,6371.161898
6376.545557,2017-09-01T05:32:00,6376.545557
6383.534668,2017-09-01T05:33:00,6383.534668
6392.601538,2017-09-01T05:34:00,6392.601538
6396.879307,2017-09-01T05:35:00,6396.879307
6405.217269,2017-09-01T05:36:00,6405.217269
6410.658086,2017-09-01T05:37:00,6410.658086
6415.0526,2017-09-01T05:38:00,6415.0526
6421.902173,2017-09-01T05:39:00,6421.902173
6427.790601,2017-09-01T05:40:00,6427.790601
6432.738965,2017-09-01T05:41:00,6432.738965
6439.634977,2017-09-01T05:42:00,6439.634977
6448.831396,2017-09-01T05:43:00,6448.831396
6453.911682,2017-09-01T05:44:00,6453.911682
6459.63807,2017-09-01T05:45:00,6459.63807
6463.323511,2017-09-01T05:46:00,6463.323511
6470.724121,2017-09-01T05:47:00,6470.724121
6477.115983,2017-09-01T05:48:00,6477.115983
6486.822734,2017-09-01T05:49:00,6486.822734
6491.589111,2017-09-01T05:50:00,6491.589111
6495.627002,2017-09-01T05:51:00,6495.627002
6503.526367,2017-09-01T05:52:00,6503.526367
6509.252783,2017-09-01T05:53:00,6509.252783
6513.635632,2017-09-01T05:54:00,6513.635632
6520.632739,2017-09-01T05:55:00,6520.632739
6530.299251,2017-09-01T05:56:00,6530.299251
6535.571582,2017-09-01T05:57:00,6535.571582
6539.344108,2017-09-01T05:58:00,6539.344108
6545.442326,2017-09-01T05:59:00,6545.442326
6552.634534,2017-09-01T06:00:00,6552.634534
6559.425537,2017-09-01T06:01:00,6559.425537
6565.381868,2017-09-01T06:02:00,6565.381868
6572.282894,2017-09-01T06:03:00,6572.282894
6578.190161,2017-09-01T06:04:00,6578.190161
6583.711938,2017-09-01T06:05:00,6583.711938
6588.182788,2017-09-01T06:06:00,6588.182788
6595.316227,2017-09-01T06:07:00,6595.316227
