UNH_YTP.R1014.LI408.OL,DATETIME,Level
2074.1401,2017-09-01T09:50:00,2074.1401
2074.142487,2017-09-01T09:51:00,2074.142487
2074.643888,2017-09-01T09:52:00,2074.643888
2074.185356,2017-09-01T09:53:00,2074.185356
2074.642939,2017-09-01T09:54:00,2074.642939
2074.482768,2017-09-01T09:55:00,2074.482768
2074.195557,2017-09-01T09:56:00,2074.195557
2073.78232,2017-09-01T09:57:00,2073.78232
2073.797355,2017-09-01T09:58:00,2073.797355
2073.893066,2017-09-01T09:59:00,2073.893066
2073.893066,2017-09-01T10:00:00,2073.893066
2073.683031,2017-09-01T10:01:00,2073.683031
2073.802393,2017-09-01T10:02:00,2073.802393
2073.893066,2017-09-01T10:03:00,2073.893066
2073.893066,2017-09-01T10:04:00,2073.893066
2074.316382,2017-09-01T10:05:00,2074.316382
2074.074487,2017-09-01T10:06:00,2074.074487
2073.893066,2017-09-01T10:07:00,2073.893066
2073.893066,2017-09-01T10:08:00,2073.893066
2073.681494,2017-09-01T10:09:00,2073.681494
2073.802393,2017-09-01T10:10:00,2073.802393
2073.681494,2017-09-01T10:11:00,2073.681494
2073.802393,2017-09-01T10:12:00,2073.802393
2073.893066,2017-09-01T10:13:00,2073.893066
2073.893066,2017-09-01T10:14:00,2073.893066
2073.63112,2017-09-01T10:15:00,2073.63112
2073.59082,2017-09-01T10:16:00,2073.59082
2074.376872,2017-09-01T10:17:00,2074.376872
2073.973698,2017-09-01T10:18:00,2073.973698
2073.893066,2017-09-01T10:19:00,2073.893066
2073.893066,2017-09-01T10:20:00,2073.893066
2073.893066,2017-09-01T10:21:00,2073.893066
2073.63112,2017-09-01T10:22:00,2073.63112
2073.59082,2017-09-01T10:23:00,2073.59082
2073.852767,2017-09-01T10:24:00,2073.852767
2072.845068,2017-09-01T10:25:00,2072.845068
2073.469889,2017-09-01T10:26:00,2073.469889
2073.59082,2017-09-01T10:27:00,2073.59082
2073.852767,2017-09-01T10:28:00,2073.852767
2073.893066,2017-09-01T10:29:00,2073.893066
2073.893066,2017-09-01T10:30:00,2073.893066
2073.63112,2017-09-01T10:31:00,2073.63112
2073.066715,2017-09-01T10:32:00,2073.066715
2073.510189,2017-09-01T10:33:00,2073.510189
2073.59082,2017-09-01T10:34:00,2073.59082
2073.59082,2017-09-01T10:35:00,2073.59082
2073.59082,2017-09-01T10:36:00,2073.59082
2073.852767,2017-09-01T10:37:00,2073.852767
2073.369173,2017-09-01T10:38:00,2073.369173
2073.550521,2017-09-01T10:39:00,2073.550521
2073.59082,2017-09-01T10:40:00,2073.59082
2073.59082,2017-09-01T10:41:00,2073.59082
2073.852767,2017-09-01T10:42:00,2073.852767
2073.63112,2017-09-01T10:43:00,2073.63112
2073.59082,2017-09-01T10:44:00,2073.59082
2073.349023,2017-09-01T10:45:00,2073.349023
2073.530371,2017-09-01T10:46:00,2073.530371
2073.349023,2017-09-01T10:47:00,2073.349023
2073.469873,2017-09-01T10:48:00,2073.469873
2073.046582,2017-09-01T10:49:00,2073.046582
2073.349023,2017-09-01T10:50:00,2073.349023
2073.711768,2017-09-01T10:51:00,2073.711768
2074.01416,2017-09-01T10:52:00,2074.01416
2073.288574,2017-09-01T10:53:00,2073.288574
2073.288574,2017-09-01T10:54:00,2073.288574
2073.350048,2017-09-01T10:55:00,2073.350048
2073.525334,2017-09-01T10:56:00,2073.525334
2073.419548,2017-09-01T10:57:00,2073.419548
2073.762093,2017-09-01T10:58:00,2073.762093
2073.288574,2017-09-01T10:59:00,2073.288574
2073.288574,2017-09-01T11:00:00,2073.288574
2073.288574,2017-09-01T11:01:00,2073.288574
2072.940804,2017-09-01T11:02:00,2072.940804
2073.30861,2017-09-01T11:03:00,2073.30861
2072.819849,2017-09-01T11:04:00,2072.819849
2073.016443,2017-09-01T11:05:00,2073.016443
2073.288574,2017-09-01T11:06:00,2073.288574
2073.45481,2017-09-01T11:07:00,2073.45481
2073.59082,2017-09-01T11:08:00,2073.59082
2073.424585,2017-09-01T11:09:00,2073.424585
2073.288574,2017-09-01T11:10:00,2073.288574
2073.288574,2017-09-01T11:11:00,2073.288574
2073.122205,2017-09-01T11:12:00,2073.122205
2073.318689,2017-09-01T11:13:00,2073.318689
2073.258215,2017-09-01T11:14:00,2073.258215
2073.152454,2017-09-01T11:15:00,2073.152454
